address,tagname,description,type
0.00,ADDR_0_00,,BOOL
0.01,ADDR_0_01,,BOOL
0.02,STER_LAMP_TEST_DI,,BOOL
0.03,ADDR_0_03,,BOOL
0.04,ADDR_0_04,,BOOL
0.05,ADDR_0_05,,BOOL
0.06,ADDR_0_06,,BOOL
0.07,ADDR_0_07,,BOOL
0.08,ADDR_0_08,,BOOL
0.09,STER_TOGGLE_SWITCH_MANUAL,Toggle Switch Manual @ Sterilizer Panel,BOOL
1.00,ADDR_1_00,,BOOL
1.01,ADDR_1_01,,BOOL
100,ADDR_100,,INT
101,AV51_0010,CC1 Bypass Valve,CHANNEL
102,ADDR_102,,INT
103,OUTPUT_TO_REGEN_FAN,Output to regen fan (speed),CHANNEL
104,ADDR_104,,INT
105,OUTPUT_TO_AV51-2_(STEAM,Output to AV51-2 (steam),CHANNEL
11.00,ADDR_11_00,,BOOL
11.01,ADDR_11_01,,BOOL
11.02,ADDR_11_02,,BOOL
11.04,ADDR_11_04,,BOOL
11.05,STERILIZER_OZONE_ALM,Sterilizer Ozone ALM,BOOL
11.06,STERILIZER_OZONE_TROUBLE_ALM,Sterilizer Ozone Trouble ALM,BOOL
110,ADDR_110,,INT
111,FINE_GRINDER_FLOW,Fine Grinder Flow,CHANNEL
112,ADDR_112,,INT
113,COMILL_FLOW,CoMill Flow,CHANNEL
120.01,_1MINUS2_EASTLESSTHANTARGET,East dryer 1st & 2nd flow rate less than Target...,BOOL
120.02,_1MINUS2_WESTLESSTHANTARGET,West dryer 1st & 2nd flow rate less than Target...,BOOL
120.03,_3RD_EASTLESSTHANTARGET,East dryer 3rd flow rate less than Target 21 l/m,BOOL
120.04,_3RD_WESTLESSTHANTARGET,West dryer 3rd flow rate less than Target 10.5l/m,BOOL
120.05,_4TH_EASTLESSTHANTARGET,East dryer 4th flow rate less than Target 19 l/m,BOOL
120.06,_4TH_WESTLESSTHANTARGET,West dryer 4th flow rate less than Target 8.5l/m,BOOL
120.07,CIP_IN_STEP_#1,CIP in Step #1 - 1st rinse,BOOL
120.08,CIP_IN_STEP_#2,CIP in Step #2 (1st Rinse cont'd),BOOL
120.09,CIP_IN_STEP_#3,CIP in Step #3 (caustic),BOOL
120.10,ADDR_120_10,,BOOL
120.11,CIP_IN_STEP_#5,CIP in Step #5 (acid),BOOL
120.12,CIP_IN_STEP_#6,CIP in Step #6,BOOL
120.13,CIP_FLOW_<_200,CIP Flow < 200 l/m,BOOL
130,ADDR_130,,INT
170,ADDR_170,,INT
171,"SPARE_INPUT_(39,40,41","SPARE INPUT (39,40,41)",CHANNEL
172,ADDR_172,,INT
172.15,ADDR_172_15,,BOOL
173,ADDR_173,,INT
173.15,ADDR_173_15,,BOOL
174,ADDR_174,,INT
175,ADDR_175,,INT
176,ADDR_176,,INT
177,ADDR_177,,INT
178,ADDR_178,,INT
180,T51_5,Stack Temp,CHANNEL
181,ADDR_181,,INT
182,T52_48,Small Cooling Tower Outlet,CHANNEL
185,ADDR_185,,INT
186,RH51_1,Outside R/H,CHANNEL
187,T51_3,IDH Outlet Temp,CHANNEL
188,REGEN_FAN_STACK_TEMP,Regen Fan Stack Temp,CHANNEL
190,ADDR_190,,INT
191,T51_1,Air Temp After CC1,CHANNEL
192,T51_2,Temp Before Dessicant Wheel,CHANNEL
193,T51_4,Outside Air Temp,CHANNEL
194,T51_6,Temp After Dessicant Wheel,CHANNEL
195,T51_10,Chiller Outlet Temp,CHANNEL
197,T51-12_RAW,T51-12 RAW,CHANNEL
232.03,ADDR_232_03,,BOOL
232.04,ADDR_232_04,,BOOL
232.05,ADDR_232_05,,BOOL
232.06,ADDR_232_06,,BOOL
232.07,ADDR_232_07,,BOOL
232.08,ADDR_232_08,,BOOL
253.13,ADDR_253_13,,BOOL
253.14,ADDR_253_14,,BOOL
253.15,ADDR_253_15,,BOOL
254.00,SYS_WATCH_STER_OPEN,MONITOR 1 MIN TIMER 254.0,BOOL
255.02,ADDR_255_02,,BOOL
255.03,ADDR_255_03,,BOOL
255.04,ADDR_255_04,,BOOL
255.05,ADDR_255_05,,BOOL
255.06,EQUALS,System Equals (EQ) Flag,BOOL
255.07,LESS_THAN,System Less Than (LE) Flag,BOOL
289.08,ADDR_289_08,,BOOL
300.00,ADDR_300_00,,BOOL
300.01,ADDR_300_01,,BOOL
300.02,ADDR_300_02,,BOOL
300.03,ADDR_300_03,,BOOL
300.04,ADDR_300_04,,BOOL
300.05,ADDR_300_05,,BOOL
300.06,ADDR_300_06,,BOOL
300.09,ADDR_300_09,,BOOL
