address,real_address,prefix,number,tagname,description,tag_type,Source,SCADA_tagname
A200.15,A200.15,A,200.15,P_FIRST_CYCLE_TASK,"""First Task Execution Flag""",BOOL,PLC,[]
A200.11,A200.11,A,200.11,P_FIRST_CYCLE,"""First Cycle Flag""",BOOL,PLC,[]
A351,A351,A,351,EXT_ADDR_A351,,BOOL,PLC,[]
A351.00,A351.00,A,351.00,EXT_ADDR_A351_00,,BOOL,PLC,[]
A351.01,A351.01,A,351.01,EXT_ADDR_A351_01,,BOOL,PLC,[]
A351.02,A351.02,A,351.02,EXT_ADDR_A351_02,,BOOL,PLC,[]
A351.03,A351.03,A,351.03,EXT_ADDR_A351_03,,BOOL,PLC,[]
A351.04,A351.04,A,351.04,EXT_ADDR_A351_04,,BOOL,PLC,[]
A351.05,A351.05,A,351.05,EXT_ADDR_A351_05,,BOOL,PLC,[]
A351.06,A351.06,A,351.06,EXT_ADDR_A351_06,,BOOL,PLC,[]
A351.07,A351.07,A,351.07,EXT_ADDR_A351_07,,BOOL,PLC,[]
A351.08,A351.08,A,351.08,EXT_ADDR_A351_08,,BOOL,PLC,[]
A351.09,A351.09,A,351.09,EXT_ADDR_A351_09,,BOOL,PLC,[]
A351.10,A351.10,A,351.10,EXT_ADDR_A351_10,,BOOL,PLC,[]
A351.11,A351.11,A,351.11,EXT_ADDR_A351_11,,BOOL,PLC,[]
A351.12,A351.12,A,351.12,EXT_ADDR_A351_12,,BOOL,PLC,[]
A351.13,A351.13,A,351.13,EXT_ADDR_A351_13,,BOOL,PLC,[]
A351.14,A351.14,A,351.14,EXT_ADDR_A351_14,,BOOL,PLC,[]
A351.15,A351.15,A,351.15,EXT_ADDR_A351_15,,BOOL,PLC,[]
A352,A352,A,352,EXT_ADDR_A352,,REAL,PLC,[]
A352.00,A352.00,A,352.00,EXT_ADDR_A352_00,,BOOL,PLC,[]
A352.01,A352.01,A,352.01,EXT_ADDR_A352_01,,BOOL,PLC,[]
A352.02,A352.02,A,352.02,EXT_ADDR_A352_02,,BOOL,PLC,[]
A352.03,A352.03,A,352.03,EXT_ADDR_A352_03,,BOOL,PLC,[]
A352.04,A352.04,A,352.04,EXT_ADDR_A352_04,,BOOL,PLC,[]
A352.05,A352.05,A,352.05,EXT_ADDR_A352_05,,BOOL,PLC,[]
A352.06,A352.06,A,352.06,EXT_ADDR_A352_06,,BOOL,PLC,[]
A352.07,A352.07,A,352.07,EXT_ADDR_A352_07,,BOOL,PLC,[]
A352.08,A352.08,A,352.08,EXT_ADDR_A352_08,,BOOL,PLC,[]
A352.09,A352.09,A,352.09,EXT_ADDR_A352_09,,BOOL,PLC,[]
A352.10,A352.10,A,352.10,EXT_ADDR_A352_10,,BOOL,PLC,[]
A352.11,A352.11,A,352.11,EXT_ADDR_A352_11,,BOOL,PLC,[]
A352.12,A352.12,A,352.12,EXT_ADDR_A352_12,,BOOL,PLC,[]
A352.13,A352.13,A,352.13,EXT_ADDR_A352_13,,BOOL,PLC,[]
A352.14,A352.14,A,352.14,EXT_ADDR_A352_14,,BOOL,PLC,[]
A352.15,A352.15,A,352.15,EXT_ADDR_A352_15,,BOOL,PLC,[]
A353,A353,A,353,EXT_ADDR_A353,,BOOL,PLC,[]
A353.00,A353.00,A,353.00,EXT_ADDR_A353_00,,BOOL,PLC,[]
A353.01,A353.01,A,353.01,EXT_ADDR_A353_01,,BOOL,PLC,[]
A353.02,A353.02,A,353.02,EXT_ADDR_A353_02,,BOOL,PLC,[]
A353.03,A353.03,A,353.03,EXT_ADDR_A353_03,,BOOL,PLC,[]
A353.04,A353.04,A,353.04,EXT_ADDR_A353_04,,BOOL,PLC,[]
A353.05,A353.05,A,353.05,EXT_ADDR_A353_05,,BOOL,PLC,[]
A353.06,A353.06,A,353.06,EXT_ADDR_A353_06,,BOOL,PLC,[]
A353.07,A353.07,A,353.07,EXT_ADDR_A353_07,,BOOL,PLC,[]
A353.08,A353.08,A,353.08,EXT_ADDR_A353_08,,BOOL,PLC,[]
A353.09,A353.09,A,353.09,EXT_ADDR_A353_09,,BOOL,PLC,[]
A353.10,A353.10,A,353.10,EXT_ADDR_A353_10,,BOOL,PLC,[]
A353.11,A353.11,A,353.11,EXT_ADDR_A353_11,,BOOL,PLC,[]
A353.12,A353.12,A,353.12,EXT_ADDR_A353_12,,BOOL,PLC,[]
A353.13,A353.13,A,353.13,EXT_ADDR_A353_13,,BOOL,PLC,[]
A353.14,A353.14,A,353.14,EXT_ADDR_A353_14,,BOOL,PLC,[]
A353.15,A353.15,A,353.15,EXT_ADDR_A353_15,,BOOL,PLC,[]
A354,A354,A,354,EXT_ADDR_A354,,BOOL,PLC,[]
A354.00,A354.00,A,354.00,EXT_ADDR_A354_00,,BOOL,PLC,[]
A354.01,A354.01,A,354.01,EXT_ADDR_A354_01,,BOOL,PLC,[]
A354.02,A354.02,A,354.02,EXT_ADDR_A354_02,,BOOL,PLC,[]
A354.03,A354.03,A,354.03,EXT_ADDR_A354_03,,BOOL,PLC,[]
A354.04,A354.04,A,354.04,EXT_ADDR_A354_04,,BOOL,PLC,[]
A354.05,A354.05,A,354.05,EXT_ADDR_A354_05,,BOOL,PLC,[]
A354.06,A354.06,A,354.06,EXT_ADDR_A354_06,,BOOL,PLC,[]
A354.07,A354.07,A,354.07,EXT_ADDR_A354_07,,BOOL,PLC,[]
A354.08,A354.08,A,354.08,EXT_ADDR_A354_08,,BOOL,PLC,[]
A354.09,A354.09,A,354.09,EXT_ADDR_A354_09,,BOOL,PLC,[]
A354.10,A354.10,A,354.10,EXT_ADDR_A354_10,,BOOL,PLC,[]
A354.11,A354.11,A,354.11,EXT_ADDR_A354_11,,BOOL,PLC,[]
A354.12,A354.12,A,354.12,EXT_ADDR_A354_12,,BOOL,PLC,[]
A354.13,A354.13,A,354.13,EXT_ADDR_A354_13,,BOOL,PLC,[]
A354.14,A354.14,A,354.14,EXT_ADDR_A354_14,,BOOL,PLC,[]
A354.15,A354.15,A,354.15,EXT_ADDR_A354_15,,BOOL,PLC,[]
A402,A402,A,402,EXT_ADDR_A402,,BOOL,PLC,[]
A204.04,A204.04,A,204.04,EXT_ADDR_A204_04,,BOOL,PLC,[]
D0,D0,D,0,SIGNALCND0,"""Machine #0 Signal Conditioning""",REAL,PLC,[]
D1,D1,D,1,EXT_ADDR_D1,,BOOL,PLC,[]
D2,D2,D,2,SCALELOW01,"""Low Scale Machine 0 Input 1""",REAL,PLC,[]
D3,D3,D,3,EXT_ADDR_D3,,BOOL,PLC,[]
D4,D4,D,4,EXT_ADDR_D4,,BOOL,PLC,[]
D5,D5,D,5,EXT_ADDR_D5,,BOOL,PLC,[]
D6,D6,D,6,EXT_ADDR_D6,,BOOL,PLC,[]
D7,D7,D,7,EXT_ADDR_D7,,BOOL,PLC,[]
D8,D8,D,8,EXT_ADDR_D8,,BOOL,PLC,[]
D9,D9,D,9,EXT_ADDR_D9,,BOOL,PLC,[]
D10,D10,D,10,EXT_ADDR_D10,,BOOL,PLC,[]
D11,D11,D,11,EXT_ADDR_D11,,BOOL,PLC,[]
D12,D12,D,12,EXT_ADDR_D12,,BOOL,PLC,[]
D13,D13,D,13,EXT_ADDR_D13,,BOOL,PLC,[]
D14,D14,D,14,EXT_ADDR_D14,,BOOL,PLC,[]
D15,D15,D,15,EXT_ADDR_D15,,BOOL,PLC,[]
D16,D16,D,16,EXT_ADDR_D16,,BOOL,PLC,[]
D17,D17,D,17,EXT_ADDR_D17,,BOOL,PLC,[]
D18,D18,D,18,EXT_ADDR_D18,,BOOL,PLC,[]
D19,D19,D,19,EXT_ADDR_D19,,BOOL,PLC,[]
D20,D20,D,20,EXT_ADDR_D20,,BOOL,PLC,[]
D21,D21,D,21,EXT_ADDR_D21,,BOOL,PLC,[]
D22,D22,D,22,EXT_ADDR_D22,,BOOL,PLC,[]
D23,D23,D,23,EXT_ADDR_D23,,BOOL,PLC,[]
D24,D24,D,24,EXT_ADDR_D24,,BOOL,PLC,[]
D25,D25,D,25,EXT_ADDR_D25,,BOOL,PLC,[]
D50,D50,D,50,SIGNALCND1,"""Machine #1 Signal Conditioning""",REAL,PLC,[]
D51,D51,D,51,EXT_ADDR_D51,,BOOL,PLC,[]
D52,D52,D,52,SCALELOW11,"""Low Scale Machine 1 Input 1""",REAL,PLC,[]
D53,D53,D,53,EXT_ADDR_D53,,BOOL,PLC,[]
D54,D54,D,54,EXT_ADDR_D54,,BOOL,PLC,[]
D55,D55,D,55,EXT_ADDR_D55,,BOOL,PLC,[]
