remark,"CSV-Import-Export"
remark,"Date = Tue Apr 17 17:13:00 2024"
remark,"Version = RSLogix 5000 v33.01"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Test_Tag,Test Tag Description,BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,P_FIRST_CYCLE_TASK,"First Task Execution Flag",,EXT_A_array[200].15,"(ExternalAccess := Read/Write)"
ALIAS,,P_FIRST_CYCLE,"First Cycle Flag",,EXT_A_array[200].11,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351,,,EXT_A_array[351],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.00,,,EXT_A_array[351].00,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.01,,,EXT_A_array[351].01,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.02,,,EXT_A_array[351].02,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.03,,,EXT_A_array[351].03,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.04,,,EXT_A_array[351].04,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.05,,,EXT_A_array[351].05,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.06,,,EXT_A_array[351].06,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.07,,,EXT_A_array[351].07,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.08,,,EXT_A_array[351].08,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.09,,,EXT_A_array[351].09,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.10,,,EXT_A_array[351].10,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.11,,,EXT_A_array[351].11,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.12,,,EXT_A_array[351].12,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.13,,,EXT_A_array[351].13,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.14,,,EXT_A_array[351].14,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351.15,,,EXT_A_array[351].15,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352,,,EXT_A_array[352],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.00,,,EXT_A_array[352].00,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.01,,,EXT_A_array[352].01,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.02,,,EXT_A_array[352].02,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.03,,,EXT_A_array[352].03,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.04,,,EXT_A_array[352].04,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.05,,,EXT_A_array[352].05,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.06,,,EXT_A_array[352].06,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.07,,,EXT_A_array[352].07,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.08,,,EXT_A_array[352].08,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.09,,,EXT_A_array[352].09,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.10,,,EXT_A_array[352].10,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.11,,,EXT_A_array[352].11,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.12,,,EXT_A_array[352].12,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.13,,,EXT_A_array[352].13,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.14,,,EXT_A_array[352].14,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A352.15,,,EXT_A_array[352].15,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353,,,EXT_A_array[353],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.00,,,EXT_A_array[353].00,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.01,,,EXT_A_array[353].01,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.02,,,EXT_A_array[353].02,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.03,,,EXT_A_array[353].03,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.04,,,EXT_A_array[353].04,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.05,,,EXT_A_array[353].05,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.06,,,EXT_A_array[353].06,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.07,,,EXT_A_array[353].07,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.08,,,EXT_A_array[353].08,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.09,,,EXT_A_array[353].09,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.10,,,EXT_A_array[353].10,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.11,,,EXT_A_array[353].11,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.12,,,EXT_A_array[353].12,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.13,,,EXT_A_array[353].13,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.14,,,EXT_A_array[353].14,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353.15,,,EXT_A_array[353].15,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354,,,EXT_A_array[354],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.00,,,EXT_A_array[354].00,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.01,,,EXT_A_array[354].01,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.02,,,EXT_A_array[354].02,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.03,,,EXT_A_array[354].03,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.04,,,EXT_A_array[354].04,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.05,,,EXT_A_array[354].05,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.06,,,EXT_A_array[354].06,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.07,,,EXT_A_array[354].07,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.08,,,EXT_A_array[354].08,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.09,,,EXT_A_array[354].09,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.10,,,EXT_A_array[354].10,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.11,,,EXT_A_array[354].11,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.12,,,EXT_A_array[354].12,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.13,,,EXT_A_array[354].13,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.14,,,EXT_A_array[354].14,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354.15,,,EXT_A_array[354].15,"(ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_A402,,DINT,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_A204.04,,BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,SIGNALCND0,"Machine #0 Signal Conditioning",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D1,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,SCALELOW01,"Low Scale Machine 0 Input 1",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D3,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D4,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D5,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D6,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D7,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D8,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D9,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D10,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
