Type,TAG,NEXT BLK,DESCRIPTION,Full Address,Clean_Address_BCD,Clean_Address,New_Address
AI,N_PRE_POSTW4_3_TIME_SP2_AI,,PostW4 Drain Preset,OMR_FINS.EXT.D32353,D32353,D32353,EXT_N_PRE_POSTW4_3_TIME_SP2
AI,N_PRE_POSTW4_3_TIME_SP1_AI,,Time Preset,OMR_FINS.EXT.D32358,D32358,D32358,EXT_PRT3_POSTW4_AGT_SP
AI,N_PRE_POSTW4_4_STEP,N_PRE_POSTW4_4_FN,,OMR_FINS.EXT.D32500,D32500,D32500,EXT_PRT4_STEP
AI,N_PRE_POSTW4_4_TIME_SP1,,(NGC) Time Preset,OMR_FINS.EXT.D32558,D32558,D32558,EXT_PRT4_POSTW4_AGT_SP
AI,N_PRE_POSTW4_4_TIME_SP1_AI,,Time Preset,OMR_FINS.EXT.D32558,D32558,D32558,EXT_PRT4_POSTW4_AGT_SP
AI,N_PRE_POSTW4_4_TIME_SP2,,(NGC) PostW4 Drain Preset,OMR_FINS.EXT.D32553,D32553,D32553,EXT_N_PRE_POSTW4_4_TIME_SP2
AI,N_PRE_POSTW4_4_TIME_SP2_AI,,PostW4 Drain Preset,OMR_FINS.EXT.D32553,D32553,D32553,EXT_N_PRE_POSTW4_4_TIME_SP2
AI,N_PRE_POSTW4_3_TIME_SP1,,(NGC) Time Preset,OMR_FINS.EXT.D32358,D32358,D32358,EXT_PRT3_POSTW4_AGT_SP
AI,N_PRE_POSTW4_3_STEP,N_PRE_POSTW4_3_FN,,OMR_FINS.EXT.D32300,D32300,D32300,EXT_PRT3_STEP
AI,EXT_PROD_PMP_FLOW,EXT_PROD_PMP_TOT,Extractor to UFHT Flow Rate,OMR_FINS.EXT.D3000,D3000,D3000,EXT_UFHT_GELYFLOW
AI,EXT_LEVEL_ST34_STPT_AR,,(NGC) Settling Tank 3&4 Stop Transfer Se,OMR_FINS.EXT.D81@BCD,D81@BCD,D81,EXT_STK3AND4_LEVEL_SP
AI,EXT_LEVEL_ST34_STPT_AI,,Settling Tank 3&4 Stop Transfer Setpoint,OMR_FINS.EXT.D81@BCD,D81@BCD,D81,EXT_STK3AND4_LEVEL_SP
AI,EXT_LEVEL_ST12_STPT_AR,,(NGC) Settling Tank 1&2 Stop Transfer Se,OMR_FINS.EXT.D80@BCD,D80@BCD,D80,EXT_STK1AND2_LEVEL_SP
AI,EXT_LEVEL_ST12_STPT_AI,,Settling Tank 1&2 Stop Transfer Setpoint,OMR_FINS.EXT.D80@BCD,D80@BCD,D80,EXT_STK1AND2_LEVEL_SP
AI,N_PRE_PREWASH_1_STEP,N_PRE_PREWASH_1_FN,,OMR_FINS.EXT.D32100,D32100,D32100,EXT_PRT1_STEP
AI,N_PRE_PREWASH_1_TIME_SP1,,(NGC) Time Preset,OMR_FINS.EXT.D32116,D32116,D32116,EXT_PRT1_PREWASH_AGT_SP
