[BLOCK TYPE,TAG,NEXT BLK,DESCRIPTION,INITIAL SCAN,SCAN TIME,SMOOTHING,I/O DEVICE,H/W OPTIONS,I/O ADDRESS,SIGNAL CONDITIONING,LOW EGU LIMIT,HIGH EGU LIMIT,EGU TAG,INITIAL A/M STATUS,ALARM ENABLE,ALARM AREA(S),LO LO ALARM LIMIT,LO ALARM LIMIT,HI ALARM LIMIT,HI HI ALARM LIMIT,ROC ALARM LIMIT,DEAD BAND,ALARM PRIORITY,ENABLE OUTPUT,SECURITY AREA 1,SECURITY AREA 2,SECURITY AREA 3,ALARM AREA 1,ALARM AREA 2,ALARM AREA 3,ALARM AREA 4,ALARM AREA 5,ALARM AREA 6,ALARM AREA 7,ALARM AREA 8,ALARM AREA 9,ALARM AREA 10,ALARM AREA 11,ALARM AREA 12,ALARM AREA 13,ALARM AREA 14,ALARM AREA 15,USER FIELD 1,USER FIELD 2,ESIG TYPE,ESIG ALLOW CONT USE,ESIG XMPT ALARM ACK,ESIG UNSIGNED WRITES,ESIG COMMENT REQUIRED,PDR Update Rate,PDR Access Time,PDR Deadband,PDR Latch,PDR Disable Output,PDR Array Length,Hist Description,Hist Collect,Hist Interval,Hist Offset,Hist Time Res,Hist Compress,Hist Deadband,Hist Comp Type,Hist Comp Time,Scale Enabled,Scale Clamping,Scale Use EGU,Scale Raw Low,Scale Raw High,Scale Low,Scale High,SHELVE ENABLE,SHELVE POLICY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!A_NAME,A_TAG,A_NEXT,A_DESC,A_ISCAN,A_SCANT,A_SMOTH,A_IODV,A_IOHT,A_IOAD,A_IOSC,A_ELO,A_EHI,A_EGUDESC,A_IAM,A_IENAB,A_ADI,A_LOLO,A_LO,A_HI,A_HIHI,A_ROC,A_DBAND,A_PRI,A_EOUT,A_SA1,A_SA2,A_SA3,A_AREA1,A_AREA2,A_AREA3,A_AREA4,A_AREA5,A_AREA6,A_AREA7,A_AREA8,A_AREA9,A_AREA10,A_AREA11,A_AREA12,A_AREA13,A_AREA14,A_AREA15,A_ALMEXT1,A_ALMEXT2,A_ESIGTYPE,A_ESIGCONT,A_ESIGACK,A_ESIGTRAP,A_ESIGREQ_COMMENT,A_PDR_UPDATERATE,A_PDR_ACCESSTIME,A_PDR_DEADBAND,A_PDR_LATCHDATA,A_PDR_DISABLEOUT,A_PDR_ARRAYLENGTH,A_HIST_DESC,A_HIST_COLLECT,A_HIST_INTERVAL,A_HIST_OFFSET,A_HIST_TIMERES,A_HIST_COMPRESS,A_HIST_DEADBAND,A_HIST_COMPTYPE,A_HIST_COMPTIME,A_SCALE_ENABLED,A_SCALE_CLAMP,A_SCALE_USEEGU,A_SCALE_RAWLOW,A_SCALE_RAWHIGH,A_SCALE_LOW,A_SCALE_HIGH,A_IALMSHLVENAB,A_ALMSHELVEPOLICY!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_3_TIME_SP2_AI,,PostW4 Drain Preset,ON,1,0,IGS,,ABR_Central.Central.EXT_N_PRE_POSTW4_3_TIME_SP2,4BCD,0,9999,Min,AUTO,DISABLE,NONE,0,0,100,100,0,5,LOW,NO,A,NONE,NONE,,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,,NO,5000,0,Milliseconds,DISABLE,0,Absolute,0,NO,NO,YES,0,65535,0,9999,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_3_TIME_SP1_AI,,Time Preset,ON,1,0,IGS,,ABR_Central.Central.EXT_PRT3_POSTW4_AGT_SP,4BCD,0,9999,Min,AUTO,DISABLE,NONE,0,0,100,100,0,5,LOW,NO,A,NONE,NONE,,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,,NO,5000,0,Milliseconds,DISABLE,0,Absolute,0,NO,NO,YES,0,65535,0,9999,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_4_STEP,N_PRE_POSTW4_4_FN,,ON,2,0,IGS,,ABR_Central.Central.EXT_PRT4_STEP,4BCD,0,10000,,AUTO,DISABLE,NONE,0,0,10000,10000,0,500,LOW,NO,A,NONE,NONE,ALL,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,SCADA.N_PRE_POSTW4_4_STEP.F_CV,NO,1000,0,Seconds,DISABLE,0.05,Absolute,0,NO,NO,YES,0,65535,0,10000,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_4_TIME_SP1,,(NGC) Time Preset,ON,2,0,IGS,,ABR_Central.Central.EXT_PRT4_POSTW4_AGT_SP,4BCD,0,9999,Min,AUTO,DISABLE,NONE,0,0,100,100,0,5,LOW,YES,A,NONE,NONE,ALL,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,,NO,5000,0,Milliseconds,DISABLE,0,Absolute,0,NO,NO,YES,0,65535,0,9999,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_4_TIME_SP1_AI,,Time Preset,ON,1,0,IGS,,ABR_Central.Central.EXT_PRT4_POSTW4_AGT_SP,4BCD,0,9999,Min,AUTO,DISABLE,NONE,0,0,100,100,0,5,LOW,NO,A,NONE,NONE,,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,,NO,5000,0,Milliseconds,DISABLE,0,Absolute,0,NO,NO,YES,0,65535,0,9999,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_4_TIME_SP2,,(NGC) PostW4 Drain Preset,ON,2,0,IGS,,ABR_Central.Central.EXT_N_PRE_POSTW4_4_TIME_SP2,4BCD,0,9999,Min,AUTO,DISABLE,NONE,0,0,100,100,0,5,LOW,YES,A,NONE,NONE,ALL,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,,NO,5000,0,Milliseconds,DISABLE,0,Absolute,0,NO,NO,YES,0,65535,0,9999,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_4_TIME_SP2_AI,,PostW4 Drain Preset,ON,1,0,IGS,,ABR_Central.Central.EXT_N_PRE_POSTW4_4_TIME_SP2,4BCD,0,9999,Min,AUTO,DISABLE,NONE,0,0,100,100,0,5,LOW,NO,A,NONE,NONE,,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,,NO,5000,0,Milliseconds,DISABLE,0,Absolute,0,NO,NO,YES,0,65535,0,9999,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_3_TIME_SP1,,(NGC) Time Preset,ON,2,0,IGS,,ABR_Central.Central.EXT_PRT3_POSTW4_AGT_SP,4BCD,0,9999,Min,AUTO,DISABLE,NONE,0,0,100,100,0,5,LOW,YES,A,NONE,NONE,ALL,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,,NO,5000,0,Milliseconds,DISABLE,0,Absolute,0,NO,NO,YES,0,65535,0,9999,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,CP_N_PRE_POSTW4_3_STEP,N_PRE_POSTW4_3_FN,,ON,2,0,IGS,,ABR_Central.Central.EXT_PRT3_STEP,4BCD,0,10000,,AUTO,DISABLE,NONE,0,0,10000,10000,0,500,LOW,NO,A,NONE,NONE,ALL,,,,,,,,,,,,,,,,,NONE,YES,NO,REJECT,NO,1000,300000,0,NO,NO,0,SCADA.N_PRE_POSTW4_3_STEP.F_CV,NO,1000,0,Seconds,DISABLE,0.05,Absolute,0,NO,NO,YES,0,65535,0,10000,DISABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
