address,real_address,prefix,number,tagname,description,tag_type,source,alias,SCADA_tagname
A200.15,A200.15,A,200.15,P_FIRST_CYCLE_TASK,"""First Task Execution Flag""",BOOL,PLC,EXT_A_array[200].15,[]
A200.11,A200.11,A,200.11,P_FIRST_CYCLE,"""First Cycle Flag""",BOOL,PLC,EXT_A_array[200].11,[]
A351,A351,A,351,EXT_ADDR_A351,,DINT,PLC,,[]
A352,A352,A,352,EXT_ADDR_A352,,DINT,PLC,,[]
A353,A353,A,353,EXT_ADDR_A353,,DINT,PLC,,[]
A354,A354,A,354,EXT_ADDR_A354,,DINT,PLC,,[]
A402,A402,A,402,EXT_ADDR_A402,,DINT,PLC,,[]
A204.04,A204.04,A,204.04,EXT_ADDR_A204,,BOOL,PLC,,[]
D0,D0,D,0,SIGNALCND0,"""Machine #0 Signal Conditioning""",REAL,PLC,,[]
D1,D1,D,1,EXT_ADDR_D1,,REAL,PLC,,[]
D2,D2,D,2,SCALELOW01,"""Low Scale Machine 0 Input 1""",REAL,PLC,,[]
D3,D3,D,3,EXT_ADDR_D3,,REAL,PLC,,[]
D4,D4,D,4,EXT_ADDR_D4,,REAL,PLC,,[]
D5,D5,D,5,EXT_ADDR_D5,,REAL,PLC,,[]
D6,D6,D,6,EXT_ADDR_D6,,REAL,PLC,,[]
D7,D7,D,7,EXT_ADDR_D7,,REAL,PLC,,[]
D8,D8,D,8,EXT_ADDR_D8,,REAL,PLC,,[]
D9,D9,D,9,EXT_ADDR_D9,,REAL,PLC,,[]
D10,D10,D,10,EXT_ADDR_D10,,REAL,PLC,,[]
D11,D11,D,11,EXT_ADDR_D11,,REAL,PLC,,[]
D12,D12,D,12,EXT_ADDR_D12,,REAL,PLC,,[]
D13,D13,D,13,EXT_ADDR_D13,,REAL,PLC,,[]
D14,D14,D,14,EXT_ADDR_D14,,REAL,PLC,,[]
D15,D15,D,15,EXT_ADDR_D15,,REAL,PLC,,[]
D16,D16,D,16,EXT_ADDR_D16,,REAL,PLC,,[]
D17,D17,D,17,EXT_ADDR_D17,,REAL,PLC,,[]
