address,real_address,prefix,number,tagname,description,tag_type,source,alias,parent,SCADA_tagname
A200,A200,A,200,EXT_ADDR_A200,""" (OMR A200)""",DINT,PLC,EXT_A_array[200],,[]
A200.11,A200.11,A,200.11,EXT_P_FIRST_CYCLE,"""First Cycle Flag (OMR A200.11)""",BOOL,PLC,EXT_A_array[200].11,,[]
A200.15,A200.15,A,200.15,EXT_P_FIRST_CYCLE_TASK,"""First Task Execution Flag (OMR A200.15)""",BOOL,PLC,EXT_A_array[200].15,,[]
A351,A351,A,351,EXT_ADDR_A351,""" (OMR A351)""",DINT,PLC,EXT_A_array[351],,[]
A351.00,A351.00,A,351.00,EXT_ADDR_A351.00,""" (OMR A351.00)""",BOOL,PLC,EXT_A_array[351].00,EXT_ADDR_A351,[]
A351.01,A351.01,A,351.01,EXT_ADDR_A351.01,""" (OMR A351.01)""",BOOL,PLC,EXT_A_array[351].01,EXT_ADDR_A351,[]
A351.02,A351.02,A,351.02,EXT_ADDR_A351.02,""" (OMR A351.02)""",BOOL,PLC,EXT_A_array[351].02,EXT_ADDR_A351,[]
A351.03,A351.03,A,351.03,EXT_ADDR_A351.03,""" (OMR A351.03)""",BOOL,PLC,EXT_A_array[351].03,EXT_ADDR_A351,[]
A351.04,A351.04,A,351.04,EXT_ADDR_A351.04,""" (OMR A351.04)""",BOOL,PLC,EXT_A_array[351].04,EXT_ADDR_A351,[]
A351.05,A351.05,A,351.05,EXT_ADDR_A351.05,""" (OMR A351.05)""",BOOL,PLC,EXT_A_array[351].05,EXT_ADDR_A351,[]
A351.06,A351.06,A,351.06,EXT_ADDR_A351.06,""" (OMR A351.06)""",BOOL,PLC,EXT_A_array[351].06,EXT_ADDR_A351,[]
A351.07,A351.07,A,351.07,EXT_ADDR_A351.07,""" (OMR A351.07)""",BOOL,PLC,EXT_A_array[351].07,EXT_ADDR_A351,[]
A351.08,A351.08,A,351.08,EXT_ADDR_A351.08,""" (OMR A351.08)""",BOOL,PLC,EXT_A_array[351].08,EXT_ADDR_A351,[]
A351.09,A351.09,A,351.09,EXT_ADDR_A351.09,""" (OMR A351.09)""",BOOL,PLC,EXT_A_array[351].09,EXT_ADDR_A351,[]
A351.10,A351.10,A,351.10,EXT_ADDR_A351.10,""" (OMR A351.10)""",BOOL,PLC,EXT_A_array[351].10,EXT_ADDR_A351,[]
A351.11,A351.11,A,351.11,EXT_ADDR_A351.11,""" (OMR A351.11)""",BOOL,PLC,EXT_A_array[351].11,EXT_ADDR_A351,[]
A351.12,A351.12,A,351.12,EXT_ADDR_A351.12,""" (OMR A351.12)""",BOOL,PLC,EXT_A_array[351].12,EXT_ADDR_A351,[]
A351.13,A351.13,A,351.13,EXT_ADDR_A351.13,""" (OMR A351.13)""",BOOL,PLC,EXT_A_array[351].13,EXT_ADDR_A351,[]
A351.14,A351.14,A,351.14,EXT_ADDR_A351.14,""" (OMR A351.14)""",BOOL,PLC,EXT_A_array[351].14,EXT_ADDR_A351,[]
A351.15,A351.15,A,351.15,EXT_ADDR_A351.15,""" (OMR A351.15)""",BOOL,PLC,EXT_A_array[351].15,EXT_ADDR_A351,[]
A352,A352,A,352,EXT,"""  (OMR A352)""",REAL,PLC,EXT_A_array[352],,[]
A352.00,A352.00,A,352.00,EXT_ADDR_A352.00,""" (OMR A352.00)""",BOOL,PLC,EXT_A_array[352].00,EXT_ADDR_A352,[]
A352.01,A352.01,A,352.01,EXT_ADDR_A352.01,""" (OMR A352.01)""",BOOL,PLC,EXT_A_array[352].01,EXT_ADDR_A352,[]
A352.02,A352.02,A,352.02,EXT_ADDR_A352.02,""" (OMR A352.02)""",BOOL,PLC,EXT_A_array[352].02,EXT_ADDR_A352,[]
A352.03,A352.03,A,352.03,EXT_ADDR_A352.03,""" (OMR A352.03)""",BOOL,PLC,EXT_A_array[352].03,EXT_ADDR_A352,[]
A352.04,A352.04,A,352.04,EXT_ADDR_A352.04,""" (OMR A352.04)""",BOOL,PLC,EXT_A_array[352].04,EXT_ADDR_A352,[]
A352.05,A352.05,A,352.05,EXT_ADDR_A352.05,""" (OMR A352.05)""",BOOL,PLC,EXT_A_array[352].05,EXT_ADDR_A352,[]
A352.06,A352.06,A,352.06,EXT_ADDR_A352.06,""" (OMR A352.06)""",BOOL,PLC,EXT_A_array[352].06,EXT_ADDR_A352,[]
A352.07,A352.07,A,352.07,EXT_ADDR_A352.07,""" (OMR A352.07)""",BOOL,PLC,EXT_A_array[352].07,EXT_ADDR_A352,[]
A352.08,A352.08,A,352.08,EXT_ADDR_A352.08,""" (OMR A352.08)""",BOOL,PLC,EXT_A_array[352].08,EXT_ADDR_A352,[]
A352.09,A352.09,A,352.09,EXT_ADDR_A352.09,""" (OMR A352.09)""",BOOL,PLC,EXT_A_array[352].09,EXT_ADDR_A352,[]
A352.10,A352.10,A,352.10,EXT_ADDR_A352.10,""" (OMR A352.10)""",BOOL,PLC,EXT_A_array[352].10,EXT_ADDR_A352,[]
A352.11,A352.11,A,352.11,EXT_ADDR_A352.11,""" (OMR A352.11)""",BOOL,PLC,EXT_A_array[352].11,EXT_ADDR_A352,[]
A352.12,A352.12,A,352.12,EXT_ADDR_A352.12,""" (OMR A352.12)""",BOOL,PLC,EXT_A_array[352].12,EXT_ADDR_A352,[]
A352.13,A352.13,A,352.13,EXT_ADDR_A352.13,""" (OMR A352.13)""",BOOL,PLC,EXT_A_array[352].13,EXT_ADDR_A352,[]
A352.14,A352.14,A,352.14,EXT_ADDR_A352.14,""" (OMR A352.14)""",BOOL,PLC,EXT_A_array[352].14,EXT_ADDR_A352,[]
A352.15,A352.15,A,352.15,EXT_ADDR_A352.15,""" (OMR A352.15)""",BOOL,PLC,EXT_A_array[352].15,EXT_ADDR_A352,[]
A353,A353,A,353,EXT_ADDR_A353,""" (OMR A353)""",DINT,PLC,EXT_A_array[353],,[]
A353.00,A353.00,A,353.00,EXT_ADDR_A353.00,""" (OMR A353.00)""",BOOL,PLC,EXT_A_array[353].00,EXT_ADDR_A353,[]
A353.01,A353.01,A,353.01,EXT_ADDR_A353.01,""" (OMR A353.01)""",BOOL,PLC,EXT_A_array[353].01,EXT_ADDR_A353,[]
A353.02,A353.02,A,353.02,EXT_ADDR_A353.02,""" (OMR A353.02)""",BOOL,PLC,EXT_A_array[353].02,EXT_ADDR_A353,[]
A353.03,A353.03,A,353.03,EXT_ADDR_A353.03,""" (OMR A353.03)""",BOOL,PLC,EXT_A_array[353].03,EXT_ADDR_A353,[]
A353.04,A353.04,A,353.04,EXT_ADDR_A353.04,""" (OMR A353.04)""",BOOL,PLC,EXT_A_array[353].04,EXT_ADDR_A353,[]
A353.05,A353.05,A,353.05,EXT_ADDR_A353.05,""" (OMR A353.05)""",BOOL,PLC,EXT_A_array[353].05,EXT_ADDR_A353,[]
A353.06,A353.06,A,353.06,EXT_ADDR_A353.06,""" (OMR A353.06)""",BOOL,PLC,EXT_A_array[353].06,EXT_ADDR_A353,[]
A353.07,A353.07,A,353.07,EXT_ADDR_A353.07,""" (OMR A353.07)""",BOOL,PLC,EXT_A_array[353].07,EXT_ADDR_A353,[]
A353.08,A353.08,A,353.08,EXT_ADDR_A353.08,""" (OMR A353.08)""",BOOL,PLC,EXT_A_array[353].08,EXT_ADDR_A353,[]
A353.09,A353.09,A,353.09,EXT_ADDR_A353.09,""" (OMR A353.09)""",BOOL,PLC,EXT_A_array[353].09,EXT_ADDR_A353,[]
A353.10,A353.10,A,353.10,EXT_ADDR_A353.10,""" (OMR A353.10)""",BOOL,PLC,EXT_A_array[353].10,EXT_ADDR_A353,[]
A353.11,A353.11,A,353.11,EXT_ADDR_A353.11,""" (OMR A353.11)""",BOOL,PLC,EXT_A_array[353].11,EXT_ADDR_A353,[]
A353.12,A353.12,A,353.12,EXT_ADDR_A353.12,""" (OMR A353.12)""",BOOL,PLC,EXT_A_array[353].12,EXT_ADDR_A353,[]
A353.13,A353.13,A,353.13,EXT_ADDR_A353.13,""" (OMR A353.13)""",BOOL,PLC,EXT_A_array[353].13,EXT_ADDR_A353,[]
A353.14,A353.14,A,353.14,EXT_ADDR_A353.14,""" (OMR A353.14)""",BOOL,PLC,EXT_A_array[353].14,EXT_ADDR_A353,[]
A353.15,A353.15,A,353.15,EXT_ADDR_A353.15,""" (OMR A353.15)""",BOOL,PLC,EXT_A_array[353].15,EXT_ADDR_A353,[]
A354,A354,A,354,EXT_ADDR_A354,""" (OMR A354)""",DINT,PLC,EXT_A_array[354],,[]
A354.00,A354.00,A,354.00,EXT_ADDR_A354.00,""" (OMR A354.00)""",BOOL,PLC,EXT_A_array[354].00,EXT_ADDR_A354,[]
A354.01,A354.01,A,354.01,EXT_ADDR_A354.01,""" (OMR A354.01)""",BOOL,PLC,EXT_A_array[354].01,EXT_ADDR_A354,[]
A354.02,A354.02,A,354.02,EXT_ADDR_A354.02,""" (OMR A354.02)""",BOOL,PLC,EXT_A_array[354].02,EXT_ADDR_A354,[]
A354.03,A354.03,A,354.03,EXT_ADDR_A354.03,""" (OMR A354.03)""",BOOL,PLC,EXT_A_array[354].03,EXT_ADDR_A354,[]
A354.04,A354.04,A,354.04,EXT_ADDR_A354.04,""" (OMR A354.04)""",BOOL,PLC,EXT_A_array[354].04,EXT_ADDR_A354,[]
A354.05,A354.05,A,354.05,EXT_ADDR_A354.05,""" (OMR A354.05)""",BOOL,PLC,EXT_A_array[354].05,EXT_ADDR_A354,[]
A354.06,A354.06,A,354.06,EXT_ADDR_A354.06,""" (OMR A354.06)""",BOOL,PLC,EXT_A_array[354].06,EXT_ADDR_A354,[]
A354.07,A354.07,A,354.07,EXT_ADDR_A354.07,""" (OMR A354.07)""",BOOL,PLC,EXT_A_array[354].07,EXT_ADDR_A354,[]
A354.08,A354.08,A,354.08,EXT_ADDR_A354.08,""" (OMR A354.08)""",BOOL,PLC,EXT_A_array[354].08,EXT_ADDR_A354,[]
A354.09,A354.09,A,354.09,EXT_ADDR_A354.09,""" (OMR A354.09)""",BOOL,PLC,EXT_A_array[354].09,EXT_ADDR_A354,[]
A354.10,A354.10,A,354.10,EXT_ADDR_A354.10,""" (OMR A354.10)""",BOOL,PLC,EXT_A_array[354].10,EXT_ADDR_A354,[]
A354.11,A354.11,A,354.11,EXT_ADDR_A354.11,""" (OMR A354.11)""",BOOL,PLC,EXT_A_array[354].11,EXT_ADDR_A354,[]
A354.12,A354.12,A,354.12,EXT_ADDR_A354.12,""" (OMR A354.12)""",BOOL,PLC,EXT_A_array[354].12,EXT_ADDR_A354,[]
A354.13,A354.13,A,354.13,EXT_ADDR_A354.13,""" (OMR A354.13)""",BOOL,PLC,EXT_A_array[354].13,EXT_ADDR_A354,[]
A354.14,A354.14,A,354.14,EXT_ADDR_A354.14,""" (OMR A354.14)""",BOOL,PLC,EXT_A_array[354].14,EXT_ADDR_A354,[]
A354.15,A354.15,A,354.15,EXT_ADDR_A354.15,""" (OMR A354.15)""",BOOL,PLC,EXT_A_array[354].15,EXT_ADDR_A354,[]
A402,A402,A,402,EXT_ADDR_A402,""" (OMR A402)""",DINT,PLC,EXT_A_array[402],,[]
A402.04,A402.04,A,402.04,EXT_LOW_BATT_FLAG,"""LOW BATTERY FLAG (OMR A402.04)""",BOOL,PLC,EXT_A_array[402].04,,[]
D0,D0,D,0,EXT_SIGNALCND0,"""Machine #0 Signal Conditioning (OMR D0)""",REAL,PLC,,,[]
D1,D1,D,1,EXT_ADDR_D1,""" (OMR D1)""",REAL,PLC,,,[]
D2,D2,D,2,EXT_SCALELOW01,"""Low Scale Machine 0 Input 1 (OMR D2)""",REAL,PLC,,,[]
D3,D3,D,3,EXT_ADDR_D3,""" (OMR D3)""",REAL,PLC,,,[]
D4,D4,D,4,EXT_ADDR_D4,""" (OMR D4)""",REAL,PLC,,,[]
