Type,TAG,NEXT BLK,DESCRIPTION,Full Address,Clean_Address_BCD,Clean_Address,New_Address
AI,T-51-1_PROPORTIONAL,,(NGC),OMR_GW2.IDH.DM2601,DM2601,DM2601,T_51_1_PROPORTIONAL
AI,T-51-1_PROPORTIONAL_AI,,,OMR_GW2.IDH.DM2601,DM2601,DM2601,T_51_1_PROPORTIONAL
AI,T51-1_DERIVATIVE,,(NGC),OMR_GW2.IDH.DM2603,DM2603,DM2603,T51_1_DERIVATIVE
AI,T51-1_DERIVATIVE_AI,,,OMR_GW2.IDH.DM2603,DM2603,DM2603,T51_1_DERIVATIVE
AI,T51-1_INTEGRAL,,(NGC),OMR_GW2.IDH.DM2602,DM2602,DM2602,T51_1_INTEGRAL
AI,T51-1_INTEGRAL_AI,,,OMR_GW2.IDH.DM2602,DM2602,DM2602,T51_1_INTEGRAL
AI,T51-1_SAMPLING,,(NGC),OMR_GW2.IDH.DM2604,DM2604,DM2604,T51_1_SAMPLING
AI,T51-1_SAMPLING_AI,,,OMR_GW2.IDH.DM2604,DM2604,DM2604,T51_1_SAMPLING
AI,T51-1_SETPT_AI,,,OMR_GW2.IDH.DM100,DM100,DM100,T51_1_STPT
AI,T51-1_SETPT_AR,,(NGC),OMR_GW2.IDH.DM100,DM100,DM100,T51_1_STPT
AI,T51-2_DERIVATIVE,,(NGC),OMR_GW2.IDH.DM2653,DM2653,DM2653,T51_2_DERIVATIVE
AI,T51-2_DERIVATIVE_AI,,,OMR_GW2.IDH.DM2653,DM2653,DM2653,T51_2_DERIVATIVE
AI,T51-2_INTEGRAL,,(NGC),OMR_GW2.IDH.DM2652,DM2652,DM2652,T51_2_INTEGRAL
AI,T51-2_INTEGRAL_AI,,,OMR_GW2.IDH.DM2652,DM2652,DM2652,T51_2_INTEGRAL
AI,T51-2_PROPORTIONAL,,(NGC),OMR_GW2.IDH.DM2651,DM2651,DM2651,T51_2_PROPORTIONAL
AI,T51-2_PROPORTIONAL_AI,,,OMR_GW2.IDH.DM2651,DM2651,DM2651,T51_2_PROPORTIONAL
AI,T51-2_SAMPLING,,(NGC),OMR_GW2.IDH.DM2654,DM2654,DM2654,T51_2_SAMPLING
AI,T51-2_SAMPLING_AI,,,OMR_GW2.IDH.DM2654,DM2654,DM2654,T51_2_SAMPLING
AI,T51-2_STPT_AI,,,OMR_GW2.IDH.DM110,DM110,DM110,T51_2_STPT
AI,T51-2_STPT_AR,,(NGC),OMR_GW2.IDH.DM110,DM110,DM110,T51_2_STPT
AI,T51-3_STPT_AI,,,OMR_GW2.IDH.DM130,DM130,DM130,T51_3_STPT
AI,T51-3_STPT_AR,,(NGC),OMR_GW2.IDH.DM130,DM130,DM130,T51_3_STPT
AI,T51-3_S_DERIVATIVE,,(NGC),OMR_GW2.IDH.DM2753,DM2753,DM2753,T51_3_S_DERIVATIVE
AI,T51-3_S_DERIVATIVE_AI,,,OMR_GW2.IDH.DM2753,DM2753,DM2753,T51_3_S_DERIVATIVE
AI,T51-3_S_INTEGRAL,,(NGC),OMR_GW2.IDH.DM2752,DM2752,DM2752,T51_3_S_INTEGRAL
AI,T51-3_S_INTEGRAL_AI,,,OMR_GW2.IDH.DM2752,DM2752,DM2752,T51_3_S_INTEGRAL
AI,T51-3_S_PROPORTIONAL,,(NGC),OMR_GW2.IDH.DM2751,DM2751,DM2751,T51_3_S_PROPORTIONAL
AI,T51-3_S_PROPORTIONAL_AI,,,OMR_GW2.IDH.DM2751,DM2751,DM2751,T51_3_S_PROPORTIONAL
AI,T51-3_S_SAMPLING,,(NGC),OMR_GW2.IDH.DM2754,DM2754,DM2754,T51_3_S_SAMPLING
AI,T51-3_S_SAMPLING_AI,,,OMR_GW2.IDH.DM2754,DM2754,DM2754,T51_3_S_SAMPLING
AI,T51-3_W_DERIVATIVE,,(NGC),OMR_GW2.IDH.DM2853,DM2853,DM2853,T51_3_W_DERIVATIVE
AI,T51-3_W_DERIVATIVE_AI,,,OMR_GW2.IDH.DM2853,DM2853,DM2853,T51_3_W_DERIVATIVE
AI,T51-3_W_INTEGRAL,,(NGC),OMR_GW2.IDH.DM2852,DM2852,DM2852,T51_3_W_INTEGRAL
AI,T51-3_W_INTEGRAL_AI,,,OMR_GW2.IDH.DM2852,DM2852,DM2852,T51_3_W_INTEGRAL
AI,T51-3_W_PROPORTIONAL,,(NGC),OMR_GW2.IDH.DM2851,DM2851,DM2851,T51_3_W_PROPORTIONAL
AI,T51-3_W_PROPORTIONAL_AI,,,OMR_GW2.IDH.DM2851,DM2851,DM2851,T51_3_W_PROPORTIONAL
AI,T51-3_W_SAMPLING,,(NGC),OMR_GW2.IDH.DM2854,DM2854,DM2854,T51_3_W_SAMPLING
AI,T51-3_W_SAMPLING_AI,,,OMR_GW2.IDH.DM2854,DM2854,DM2854,T51_3_W_SAMPLING
AI,DRI_CONT_P118_SP_AR,,(NGC) p118 controller stpt ar,OMR_GW2.IDH.DM3501,DM3501,DM3501,STER_P117_SETPOINT
AI,DRI_CONT_P118_SP_AI,,P118 CONTROLLER PV,OMR_GW2.IDH.DM3526,DM3526,DM3526,DRI_CONT_P118_SP_AI
AI,DRI_CONT_P118_PV,,P118 CONTROLLER PV,OMR_GW2.IDH.DM3516,DM3516,DM3516,DRI_CONT_P118_PV
AI,DRI_CONT_P116_SP_AR,,(NGC) p116 controller stpt ar,OMR_GW2.IDH.DM3500,DM3500,DM3500,DRI_CONT_P116_SP_AO
AI,DRI_CONT_P116_SP_AI,,p116 controller  stpt ai,OMR_GW2.IDH.DM3521,DM3521,DM3521,DRI_CONT_P116_SP_AI
AI,DRI_CONT_P116_PV,,P116 CONTROLLER PV,OMR_GW2.IDH.DM3511,DM3511,DM3511,DRI_CONT_P116_PV
AI,DRIER_FLOW_STPT_EAST_CIP_AI,,,OMR_GW2.IDH.DM8@bcd,DM8@bcd,DM8,DRIER_FLOW_STPT_EAST_CIP_AI
AI,DRIER_FLOW_STPT_EAST_4TH_AI,,,OMR_GW2.IDH.DM6@bcd,DM6@bcd,DM6,DRIER_FLOW_STPT_EAST_4TH_AI
AI,DRIER_FLOW_STPT_EAST_3RD_AI,,,OMR_GW2.IDH.DM4@bcd,DM4@bcd,DM4,DRIER_FLOW_STPT_EAST_3RD_AI
AI,DRIER_FLOW_STPT_EAST_2ND_AI,,,OMR_GW2.IDH.DM2@bcd,DM2@bcd,DM2,DRIER_FLOW_STPT_EAST_2ND_AI
AI,DRIER_FLOW_STPT_EAST_1ST_AI,,,OMR_GW2.IDH.DM0@bcd,DM0@bcd,DM0,DRIER_FLOW_STPT_EAST_1ST_AI
AI,DRIER_FLOW_AI,,Gelatin Flow to Chemetator,OMR_GW2.IDH.DM920,DM920,DM920,CHEM_FLOW
AI,DRIER_EAST_FLOW_STPT_SLOW,DRIER_EAST_FLOW_STPT_SLOW_CA,,OMR_GW2.IDH.DM900,DM900,DM900,DRIER_EAST_FLOW_STPT
AI,DRIER_EAST_FLOW_STPT,DRIER_EAST_FLOW_STPT_TOTAL,,OMR_GW2.IDH.DM900,DM900,DM900,DRIER_EAST_FLOW_STPT
AI,T51-5_DERIVATIVE,,(NGC),OMR_GW2.IDH.DM2703,DM2703,DM2703,T51_5_DERIVATIVE
AI,T51-5_DERIVATIVE_AI,,,OMR_GW2.IDH.DM2703,DM2703,DM2703,T51_5_DERIVATIVE
AI,T51-5_INTEGRAL,,(NGC),OMR_GW2.IDH.DM2702,DM2702,DM2702,T51_5_INTEGRAL
AI,T51-5_INTEGRAL_AI,,,OMR_GW2.IDH.DM2702,DM2702,DM2702,T51_5_INTEGRAL
AI,T51-5_PROPORTIONAL,,(NGC),OMR_GW2.IDH.DM2701,DM2701,DM2701,T51_5_PROPORTIONAL
AI,T51-5_PROPORTIONAL_AI,,,OMR_GW2.IDH.DM2701,DM2701,DM2701,T51_5_PROPORTIONAL
AI,DRIER_COOK_AI,DRY_COOK_SEL_PASSTHRU,,OMR_GW2.IDH.HR10,HR10,HR10,DRIER_COOK_AI
AI,DRIER_BATCH_NUM_AR,,(NGC) drier batch number ar,OMR_GW2.IDH.DM913,DM913,DM913,DRIER_BATCH_NUM_AR
AI,DRIER_BATCH_NUM_AI,,drier batch number ar,OMR_GW2.IDH.DM913,DM913,DM913,DRIER_BATCH_NUM_AR
AI,DRIER_BATCH_NUM,,Drier Batch Number,OMR_GW2.IDH.DM913,DM913,DM913,DRIER_BATCH_NUM_AR
AI,IDH_40M_VALVE_TIME_OFF,,V2 Closed Time (minutes),OMR_GW2.IDH.DM24@BCD,DM24@BCD,DM24,IDH_40M_VALVE_TIME_OFF
AI,IDH_40M_VALVE_TIME_ON,,V2 Open Time (seconds),OMR_GW2.IDH.DM27@BCD,DM27@BCD,DM27,IDH_40M_VALVE_TIME_ON
AI,IDH_40_7M_VALVE_TIME_OFF,,V3 Closed Time (seconds),OMR_GW2.IDH.DM33@BCD,DM33@BCD,DM33,IDH_40_7M_VALVE_TIME_OFF
AI,IDH_40_7M_VALVE_TIME_ON,,V3 Open Time (seconds),OMR_GW2.IDH.DM30@BCD,DM30@BCD,DM30,IDH_40_7M_VALVE_TIME_ON
AI,T51-5_SAMPLING,,(NGC),OMR_GW2.IDH.DM2704,DM2704,DM2704,T51_5_SAMPLING
AI,T51-5_SAMPLING_AI,,,OMR_GW2.IDH.DM2704,DM2704,DM2704,T51_5_SAMPLING
AI,IDH_T51-3_DERIVATIVE,,T51-3 DERIVATIVE,OMR_GW2.IDH.DM223@BCD,DM223@BCD,DM223,IDH_T51_3_DERIVATIVE
AI,T51-5_STPT_AI,T51-5_STPT_TO_BURNER,,OMR_GW2.IDH.DM120,DM120,DM120,T51_5_STPT
AI,IDH_T51-3_INTEGRAL,,T51-3 INTEGRAL,OMR_GW2.IDH.DM222@BCD,DM222@BCD,DM222,IDH_T51_3_INTEGRAL
AI,IDH_T51-3_OUTPUT,,T51-3 OUTPUT,OMR_GW2.IDH.DM260,DM260,DM260,IDH_T51_3_OUTPUT
AI,IDH_T51-3_PROPORTIONAL,,T51-3 PROPORTIONAL,OMR_GW2.IDH.DM221@BCD,DM221@BCD,DM221,IDH_T51_3_PROPORTIONAL
AI,T51-5_STPT_AR,,(NGC),OMR_GW2.IDH.DM120,DM120,DM120,T51_5_STPT
AI,IDH_T51-3_SAMPLE,,T51-3 SAMPLE PERIOD,OMR_GW2.IDH.DM224,DM224,DM224,IDH_T51_3_SAMPLE
AI,T51-12_DERIVATIVE,,(NGC),OMR_GW2.IDH.DM2803,DM2803,DM2803,T51_12_DERIVATIVE
AI,T51-12_DERIVATIVE_AI,,,OMR_GW2.IDH.DM2803,DM2803,DM2803,T51_12_DERIVATIVE
AI,T51-12_INTEGRAL,,(NGC),OMR_GW2.IDH.DM2802,DM2802,DM2802,T51_12_INTEGRAL
AI,T51-12_INTEGRAL_AI,,,OMR_GW2.IDH.DM2802,DM2802,DM2802,T51_12_INTEGRAL
AI,T51-12_OUTPUT_RAW,T51-12_OUT_PID_CA,,OMR_GW2.IDH.IR105,IR105,IR105,OUTPUT_TO_AV51_2_STEAM
AI,T51-12_PROPORTIONAL,,(NGC),OMR_GW2.IDH.DM2801,DM2801,DM2801,T51_12_PROPORTIONAL
AI,T51-12_PROPORTIONAL_AI,,,OMR_GW2.IDH.DM2801,DM2801,DM2801,T51_12_PROPORTIONAL
AI,T51-12_SAMPLING,,(NGC),OMR_GW2.IDH.DM2804,DM2804,DM2804,T51_12_SAMPLING
AI,T51-12_SAMPLING_AI,,,OMR_GW2.IDH.DM2804,DM2804,DM2804,T51_12_SAMPLING
AI,T51-12_STPT_AI,,,OMR_GW2.IDH.DM140,DM140,DM140,T51_12_STPT_AO
AI,T51-12_STPT_AR,,(NGC),OMR_GW2.IDH.DM140,DM140,DM140,T51_12_STPT_AO
AI,CC3_OUTPUT,,CC3 Cooling Valve Output,OMR_GW2.IDH.DM5211@BCD,DM5211@BCD,DM5211,"CC3_OUTPUT
CC3_OUTPUT"
AI,CC3_TEMPERATURE,CC3_TEMPERATURE_CA,IDH Outlet Temperature,OMR_GW2.IDH.DM5209@BCD,DM5209@BCD,DM5209,"CC3_TEMPERATURE
CC3_TEMPERATURE"
AI,STER_P66_SETPOINT,,P66 Speed Setpoint,OMR_GW2.IDH.DM3499@BCD,DM3499@BCD,DM3499,STER_P66_SETPOINT
AI,CHEM_DRIER_FLOWRATE_STPT,,DRIER FLOWRATE SETPOINT,OMR_GW2.IDH.DM900@bcd,DM900@bcd,DM900,DRIER_EAST_FLOW_STPT
AI,CHEM_FLOW,CHEM_FLOW_AVG,CHEMETATOR FLOW,OMR_GW2.IDH.DM920,DM920,DM920,CHEM_FLOW
AI,CHEM_FLOW_PASSTHRU,CHEM_FLOW_PASSTHRU_OUT,CHEMETATOR FLOW,OMR_GW2.IDH.DM920@BCD,DM920@BCD,DM920,CHEM_FLOW
AI,IDH_SATAKE_COUNTER_PV,,SATAKE Counter Value,OMR_GW2.IDH.DM10@BCD,DM10@BCD,DM10,IDH_SATAKE_COUNTER_PV
AI,STER_P117_SETPOINT,,P117 Speed Setpoint,OMR_GW2.IDH.DM3501@BCD,DM3501@BCD,DM3501,STER_P117_SETPOINT
AO,CC3_SETPOINT_AO,,CC3 Setpoint Out,OMR_GW2.IDH.DM5215@BCD,DM5215@BCD,DM5215,"CC3_SETPOINT_AO
CC3_SETPOINT_AO"
AO,T51-12_STPT_AO,,,OMR_GW2.IDH.DM140,DM140,DM140,T51_12_STPT_AO
AO,T51-12_SAMPLING_AO,,,OMR_GW2.IDH.DM2804,DM2804,DM2804,T51_12_SAMPLING
AO,T51-12_PROPORTIONAL_AO,,,OMR_GW2.IDH.DM2801,DM2801,DM2801,T51_12_PROPORTIONAL
AO,T51-12_PID_OUTPUT_FORCE_TEST_R,,FORCE GLYOL TEMP CONT VALVE (PID MAN ON),OMR_GW2.IDH.IR105,IR105,IR105,OUTPUT_TO_AV51_2_STEAM
AO,T51-12_PID_OUTPUT_FORCE,,FORCE GLYOL TEMP CONT VALVE (PID MAN ON),OMR_GW2.IDH.IR105,IR105,IR105,OUTPUT_TO_AV51_2_STEAM
AO,T51-12_MAN_OUTPUT,,T51-12 MANUAL OUTPUT (AV51-2),OMR_GW2.IDH.DM141,DM141,DM141,T51_12_MAN_OUTPUT
AO,T51-12_INTEGRAL_AO,,,OMR_GW2.IDH.DM2802,DM2802,DM2802,T51_12_INTEGRAL
AO,T51-12_DERIVATIVE_AO,,,OMR_GW2.IDH.DM2803,DM2803,DM2803,T51_12_DERIVATIVE
AO,T51-5_STPT_AO,,,OMR_GW2.IDH.DM120,DM120,DM120,T51_5_STPT
AO,T51-5_SAMPLING_AO,,,OMR_GW2.IDH.DM2704,DM2704,DM2704,T51_5_SAMPLING
AO,DRIER_BATCH_NUM_AO,,drier batch number ao,OMR_GW2.IDH.DM913,DM913,DM913,DRIER_BATCH_NUM_AR
AO,DRIER_COOK,,,OMR_GW2.IDH.HR10,HR10,HR10,DRIER_COOK_AI
AO,T51-5_PROPORTIONAL_AO,,,OMR_GW2.IDH.DM2701,DM2701,DM2701,T51_5_PROPORTIONAL
AO,T51-5_PID_OUTPUT_FORCE,,FORCE REGEN FAN  (PID MAN ON),OMR_GW2.IDH.IR103,IR103,IR103,OUTPUT_TO_REGEN_FAN
AO,T51-5_INTEGRAL_AO,,,OMR_GW2.IDH.DM2702,DM2702,DM2702,T51_5_INTEGRAL
AO,T51-5_DERIVATIVE_AO,,,OMR_GW2.IDH.DM2703,DM2703,DM2703,T51_5_DERIVATIVE
