remark,"CSV-Import-Export"
remark,"Date = Tue Apr 17 17:13:00 2024"
remark,"Version = RSLogix 5000 v33.01"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Test_Tag,Test Tag Description,BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DRIER_FLAG_EAST_1ST," - OMR: 0.00",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_0_01," - OMR: 0.01",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DRIER_FLAG_EAST_2ND," - OMR: 0.02",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_0_03," - OMR: 0.03",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DRIER_FLAG_EAST_3RD," - OMR: 0.04",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_0_05," - OMR: 0.05",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DRIER_FLAG_EAST_4TH," - OMR: 0.06",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_0_07," - OMR: 0.07",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DRIER_FLAG_EAST_CIP," - OMR: 0.08",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_0_09," - OMR: 0.09",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_1_00," - OMR: 1.00",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_1_01," - OMR: 1.01",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_100," - OMR: 100",DINT,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AV51_0010,"CC1 Bypass Valve - OMR: 101",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_102," - OMR: 102",DINT,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,OUTPUT_TO_REGEN_FAN,"Output to regen fan (speed) - OMR: 103",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,IDH_ADDR_104," - OMR: 104",DINT,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,OUTPUT_TO_AV51_2_STEAM,"Output to AV51-2 (steam) - OMR: 105",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,FINE_GRIND_ALARM,"FINE GRINDER IS STOPPED ALARM - OMR: 11.00",BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
