address,tagname,description,type
0.00,DRIER_FLAG_EAST_1ST,""" - OMR: 0.00""",BOOL
0.01,IDH_ADDR_0_01,""" - OMR: 0.01""",BOOL
0.02,DRIER_FLAG_EAST_2ND,""" - OMR: 0.02""",BOOL
0.03,IDH_ADDR_0_03,""" - OMR: 0.03""",BOOL
0.04,DRIER_FLAG_EAST_3RD,""" - OMR: 0.04""",BOOL
0.05,IDH_ADDR_0_05,""" - OMR: 0.05""",BOOL
0.06,DRIER_FLAG_EAST_4TH,""" - OMR: 0.06""",BOOL
0.07,IDH_ADDR_0_07,""" - OMR: 0.07""",BOOL
0.08,DRIER_FLAG_EAST_CIP,""" - OMR: 0.08""",BOOL
0.09,IDH_ADDR_0_09,""" - OMR: 0.09""",BOOL
1.00,IDH_ADDR_1_00,""" - OMR: 1.00""",BOOL
1.01,IDH_ADDR_1_01,""" - OMR: 1.01""",BOOL
100,IDH_ADDR_100,""" - OMR: 100""",DINT
101,AV51_0010,"""CC1 Bypass Valve - OMR: 101""",REAL
102,IDH_ADDR_102,""" - OMR: 102""",DINT
103,OUTPUT_TO_REGEN_FAN,"""Output to regen fan (speed) - OMR: 103""",REAL
104,IDH_ADDR_104,""" - OMR: 104""",DINT
105,OUTPUT_TO_AV51_2_STEAM,"""Output to AV51-2 (steam) - OMR: 105""",REAL
11.00,FINE_GRIND_ALARM,"""FINE GRINDER IS STOPPED ALARM - OMR: 11.00""",BOOL
11.01,DRIER_EAST_DOOR,"""East Drier Pin Breaker Stop - OMR: 11.01""",BOOL
11.02,IDH_ADDR_11_02,""" - OMR: 11.02""",BOOL
11.04,FEED_BACK_FROM_STERILIZER,"""feed back from Sterilizer PLC CIP step to chang... - OMR: 11.04""",BOOL
11.05,IDH_ADDR_11_05,""" - OMR: 11.05""",BOOL
11.06,IDH_ADDR_11_06,""" - OMR: 11.06""",BOOL
110,IDH_ADDR_110,""" - OMR: 110""",DINT
111,FINE_GRINDER_FLOW,"""Fine Grinder Flow - OMR: 111""",REAL
112,IDH_ADDR_112,""" - OMR: 112""",DINT
113,COMILL_FLOW,"""CoMill Flow - OMR: 113""",REAL
120.01,EAST_FLOW11_LM,"""N-Dryer 1st or 2nd flow < Target - OMR: 120.01""",BOOL
120.02,IDH_ADDR_120_02,""" - OMR: 120.02""",BOOL
120.03,EAST_FLOW10_LM,"""N-Dryer 3rd flow < Target - OMR: 120.03""",BOOL
120.04,IDH_ADDR_120_04,""" - OMR: 120.04""",BOOL
120.05,EAST_FLOW8LM,"""N-Dryer 4th flow < Target - OMR: 120.05""",BOOL
120.06,IDH_ADDR_120_06,""" - OMR: 120.06""",BOOL
120.07,IDH_ADDR_120_07,""" - OMR: 120.07""",BOOL
120.08,IDH_ADDR_120_08,""" - OMR: 120.08""",BOOL
120.09,IDH_ADDR_120_09,""" - OMR: 120.09""",BOOL
120.10,CIP_IN_STEP_4,"""CIP in Step #4 (2nd rinse) - OMR: 120.10""",BOOL
120.11,IDH_ADDR_120_11,""" - OMR: 120.11""",BOOL
120.12,IDH_ADDR_120_12,""" - OMR: 120.12""",BOOL
120.13,CHEMETATOR_CIP_LOW_FLOW_ALARM,"""CHEMETATOR CIP LOW FLOW ALARM - OMR: 120.13""",BOOL
130,IDH_ADDR_130,""" - OMR: 130""",DINT
170,IDH_ADDR_170,""" - OMR: 170""",DINT
171,SPARE_INPUT_39_40_41,"""SPARE INPUT (39,40,41) - OMR: 171""",REAL
172,IDH_ADDR_172,""" - OMR: 172""",DINT
172.15,IDH_ADDR_172_15,""" - OMR: 172.15""",BOOL
173,IDH_ADDR_173,""" - OMR: 173""",DINT
173.15,IDH_ADDR_173_15,""" - OMR: 173.15""",BOOL
174,IDH_ADDR_174,""" - OMR: 174""",DINT
175,IDH_ADDR_175,""" - OMR: 175""",DINT
176,IDH_ADDR_176,""" - OMR: 176""",DINT
177,IDH_ADDR_177,""" - OMR: 177""",DINT
178,IDH_ADDR_178,""" - OMR: 178""",DINT
180,T51_5,"""Stack Temp - OMR: 180""",REAL
181,IDH_ADDR_181,""" - OMR: 181""",DINT
182,T52_48,"""Small Cooling Tower Outlet - OMR: 182""",REAL
185,IDH_ADDR_185,""" - OMR: 185""",DINT
186,RH51_1,"""Outside R/H - OMR: 186""",REAL
