Type,TAG,NEXT BLK,DESCRIPTION,Full Address,Clean_Address_BCD,Clean_Address,New_Address
AI,STER_VAC_STPT_AR,,(NGC),OMR_GW2.STER.DM511,DM511,DM511,STER_VAC_STPT_AR
AI,STER_VAC_STPT_AI,,STERILIZER VAC STPT,OMR_GW2.STER.DM519,DM519,DM519,STER_VAC_STPT_AI
AI,STER_VAC_OUT_AI,,STER VAC PID OUTPUT,OMR_GW2.STER.DM516@BCD,DM516@BCD,DM516,STER_VAC_OUT_AI
AI,STER_TR74_STPT_AR,,(NGC),OMR_GW2.STER.DM501@BCD,DM501@BCD,DM501,STER_TR74_STPT_AI
AI,STER_TR74_STPT_AI,,TR74 SETPOINT,OMR_GW2.STER.DM501@bcd,DM501@bcd,DM501,STER_TR74_STPT_AI
AI,STER_TR74_OUT_AI,,STER TR74 PID OUTPUT,OMR_GW2.STER.DM506@BCD,DM506@BCD,DM506,STER_TR74_OUT_AI
AI,STER_TO_DRIER_CIP_STEP,DRIER_FROM_STER_CIP_STEP,,OMR_GW2.STER.DM910,DM910,DM910,STER_TO_DRIER_CIP_STEP
AI,STERILIZER_RUNNING_STATUS,,"2'=S/D, 3=CIP, 4=Park, 5=CIP>Target, 6=??'",OMR_GW2.Ster.DM420@bcd,DM420@bcd,DM420,STERILIZER_RUNNING_STATUS
AI,STER_LEVEL_SEP_STPT_AR,,(NGC),OMR_GW2.STER.DM521@BCD,DM521@BCD,DM521,STER_LEVEL_SEP_STPT_AI
AI,STER_LEVEL_SEP_STPT_AI,,SEPARATOR LEVEL,OMR_GW2.STER.DM521@BCD,DM521@BCD,DM521,STER_LEVEL_SEP_STPT_AI
AI,STER_LEVEL_SEP_OUT_AI,,STER SEPARATOR LEVEL PID OUTPUT,OMR_GW2.STER.DM526@BCD,DM526@BCD,DM526,STER_LEVEL_SEP_OUT_AI
AI,STER_LEVEL_BALANCE_TK,STER_BALANCE_VOLUME,STERILIZER BALANCE TANK LEVEL %,OMR_GW2.STER.IR111@BCD,IR111@BCD,IR111,BTLEVEL
AI,STER_FLOW_STPT_AR,,(NGC),OMR_GW2.STER.DM531,DM531,DM531,STER_FLOW_STPT_AI
AI,STER_FLOW_STPT_AI,,FLOWRATE STPT,OMR_GW2.STER.DM531@bcd,DM531@bcd,DM531,STER_FLOW_STPT_AI
AI,STER_FLOW_OUT_AI,,STER FLOW PID OUTPUT,OMR_GW2.STER.DM536,DM536,DM536,STER_FLOW_OUT_AI
