address,tagname,description,type
0.00,ALARMCANCEL,"""ALARM CANCEL - OMR: 0.00""",BOOL
0.01,I001,"""PROCES START/STOP - OMR: 0.01""",BOOL
0.02,STER_LAMP_TEST_DI,"""LAMP TEST - OMR: 0.02""",BOOL
0.03,I003,"""CIP START/STOP - OMR: 0.03""",BOOL
0.04,I004,"""STERILE TANK WATER VALVE ON/OFF - OMR: 0.04""",BOOL
0.05,I005,"""PUMP 116 (P.B) - OMR: 0.05""",BOOL
0.06,I006,"""VOTATOR FEED PUMP WEST 118 - OMR: 0.06""",BOOL
0.07,I007,"""PLANT PURGE - OMR: 0.07""",BOOL
0.08,I008,"""EMERGENCY STOP - OMR: 0.08""",BOOL
0.09,STER_TOGGLE_SWITCH_MANUAL,"""Toggle Switch Manual @ Sterilizer Panel - OMR: 0.09""",BOOL
0.12,I012,"""SEPARATOR PRESSURE S.P. SWITCH - OMR: 0.12""",BOOL
1.01,I101,"""PUMP P72 FAULT RELAY - OMR: 1.01""",BOOL
1.02,I102,"""PUMP P64 FAULT RELAY - OMR: 1.02""",BOOL
1.03,I103,"""PUMP 76 FAULT RELAY - OMR: 1.03""",BOOL
1.04,I104_P116_FAULT,"""PUMP 116 FAULT RELAY - OMR: 1.04""",BOOL
1.05,I105_P118_FAULT,"""PUMP 118 FAULT RELAY - OMR: 1.05""",BOOL
1.07,WASHOUT_OPEN,"""WASHOUT PLATE OPEN ""2.04 from Chem PLC"" - OMR: 1.07""",BOOL
1.08,START_P116,"""START P-116 FROM CHEMETATOR PANEL - OMR: 1.08""",BOOL
1.09,WASHOUT_CANDL,"""WASHOUT PLATE CLOSED AND LOCKED - OMR: 1.09""",BOOL
1.10,STER_CHEM_IN_PARK_POSITION,"""CHEMETATOR IN PARK POSITION - OMR: 1.10""",BOOL
1.12,TOGGLE_SWITCH_MAN_POSITION,"""Toggle Switch MAN Position - OMR: 1.12""",BOOL
100.02,AC1C1,"""SCALING ON - OMR: 100.02""",BOOL
100.03,AC1C2,"""SCALING ON - OMR: 100.03""",BOOL
100.04,AC1C3,"""SCALING ON - OMR: 100.04""",BOOL
100.05,AC1C4,"""SCALING ON - OMR: 100.05""",BOOL
101,Sterilizer_ADDR_101,""" - OMR: 101""",DINT
103,Sterilizer_ADDR_103,""" - OMR: 103""",DINT
104,Sterilizer_ADDR_104,""" - OMR: 104""",DINT
110.02,AC2C1,"""SCALING ON - OMR: 110.02""",BOOL
110.03,AC2C2,"""SCALING ON - OMR: 110.03""",BOOL
110.04,AC2C3,"""SCALING ON - OMR: 110.04""",BOOL
110.05,AC2C4,"""SCALING ON - OMR: 110.05""",BOOL
111,Sterilizer_ADDR_111,""" - OMR: 111""",DINT
112,Sterilizer_ADDR_112,""" - OMR: 112""",DINT
113,Sterilizer_ADDR_113,""" - OMR: 113""",DINT
114,Sterilizer_ADDR_114,""" - OMR: 114""",DINT
2.00,STER_P64_STATUS,"""STERILIZER P64 STATUS - OMR: 2.00""",BOOL
2.01,STER_P72_STATUS,"""STERILIZER P72 STATUS - OMR: 2.01""",BOOL
2.02,STER_P66_STATUS,"""STERILIZER P66 STATUS - OMR: 2.02""",BOOL
2.03,STER_P67_STATUS,"""STERILIZER P67 STATUS - OMR: 2.03""",BOOL
2.04,STER_P68_STATUS,"""STERILIZER P68 STATUS - OMR: 2.04""",BOOL
2.05,STER_P69_STATUS,"""STERILIZER P69 STATUS - OMR: 2.05""",BOOL
2.06,STER_P76_STATUS,"""STERILIZER P76 STATUS - OMR: 2.06""",BOOL
2.07,STER_P116_STATUS,"""STERILIZER P116 starter when in auto - OMR: 2.07""",BOOL
2.08,STER_P118_STATUS,"""STERILIZER P118 starter when in auto - OMR: 2.08""",BOOL
2.09,STER_P117_STATUS,"""STERILIZER P117 STATUS - OMR: 2.09""",BOOL
2.10,STER_P119_STATUS,"""STERILIZER P119 STATUS - OMR: 2.10""",BOOL
2.13,ACID_PUMP,"""Monthly Acid pump - OMR: 2.13""",BOOL
2.14,STER_SANITIZER_PMP,"""Sterilizer Sanitizer Pump Status - OMR: 2.14""",BOOL
2.15,STER_CAUSTIC_PMP,"""Sterilizer Caustic Pump Status - OMR: 2.15""",BOOL
232.02,TO_CONTROL_PU64,"""TO OPERATE PRODUCT FEED PUMP STARTER P64 - OMR: 232.02""",BOOL
232.03,TO_CONTROL_P72,"""TO OPERATE SEPARATOR PUMP STARTER P72 - OMR: 232.03""",BOOL
233.00,SCADA_ALRM_CNCL,"""SCADA Remote Alarm Cancel - OMR: 233.00""",BOOL
233.01,STER_PROCESS_START_SCADA_PB,"""Sterilizer Process SCADA Start - OMR: 233.01""",BOOL
233.03,STER_CIP_START_SCADA_PB,"""Sterilizer CIP SCADA Start - OMR: 233.03""",BOOL
233.05,STER_P116_START_DO,"""P116 START PUSH BUTTON - OMR: 233.05""",BOOL
233.07,STER_PROD_PURGE_SCADA_PB,"""Sterilizer Production Purge SCADA Start - OMR: 233.07""",BOOL
